Problem,Male,Dependent_count,college_or_above,Married,Less_than_$40K,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Customer_Age_0-43,Customer_Age_43-50,Customer_Age_50-68
1,0,0,1,1,0,40.0,1,3.5,2.5,1438.3,107.5,1438.3,0.85,1378.875,35.0,0.49724999999999997,0.0,0,0,1
1,0,0,0,1,0,40.5,1,3.0,3.0,3353.0,107.5,3353.0,0.85,1378.875,35.0,0.49724999999999997,0.0,0,0,1
1,1,2,1,0,0,36.0,1,2.5,2.5,3401.0,107.5,3401.0,0.85,1378.875,35.0,0.7907500000000001,0.0,0,1,0
0,1,4,0,0,0,31.5,5,2.5,2.5,8920.125,1783.5,7947.35,0.85,1747.0,35.0,0.7907500000000001,0.14,0,1,0
1,0,2,0,1,1,40.5,3,3.0,2.5,6094.0,107.5,6094.0,0.85,1378.875,35.0,0.49724999999999997,0.0,0,1,0
0,1,0,1,1,0,40.5,3,2.5,2.5,2939.0,1783.5,940.0,0.85,2434.0,35.0,0.7907500000000001,0.29337500000000005,0,0,1
1,1,2,0,1,0,36.0,3,3.0,3.0,8920.125,107.5,7947.35,0.85,1378.875,35.0,0.786,0.0,0,1,0
0,0,4,1,0,1,36.0,6,3.0,2.5,3342.0,1783.5,825.0,0.771,1378.875,35.0,0.765,0.29337500000000005,0,1,0
1,0,4,1,1,1,40.0,6,2.5,2.5,2532.0,1783.5,311.0,0.594,1378.875,35.0,0.49724999999999997,0.29337500000000005,0,1,0
0,0,3,1,1,1,40.5,2,2.5,3.0,1900.0,1376.0,524.0,0.85,1881.0,45.0,0.607,0.29337500000000005,0,1,0
0,1,0,0,0,0,40.5,5,2.5,3.0,8920.125,1783.5,7947.35,0.804,1378.875,35.0,0.7907500000000001,0.154,0,1,0
0,1,2,1,1,0,40.5,3,3.0,2.5,8920.125,1707.0,7947.35,0.816,1678.0,40.0,0.538,0.07,0,1,0
0,1,2,1,0,0,37.0,2,3.0,2.5,8920.125,107.5,7947.35,0.788,1536.0,37.0,0.49724999999999997,0.0,0,1,0
0,1,0,1,1,0,40.5,3,2.5,2.5,1616.0,1047.0,569.0,0.85,1389.0,35.0,0.7907500000000001,0.29337500000000005,0,0,1
0,1,2,0,0,0,40.0,5,2.5,2.5,8920.125,107.5,7947.35,0.656,1378.875,35.0,0.611,0.0,0,1,0
1,1,3,1,1,0,38.0,2,3.0,3.0,8249.0,1381.0,6868.0,0.798,1378.875,35.0,0.7907500000000001,0.167,0,0,1
0,1,3,0,1,0,40.5,5,3.0,2.5,5264.0,1783.5,3095.0,0.594,1378.875,35.0,0.5,0.29337500000000005,0,1,0
0,1,1,0,1,0,36.0,6,3.0,2.5,3312.0,1783.5,1468.0,0.85,1740.0,35.0,0.7907500000000001,0.29337500000000005,0,1,0
1,1,2,0,1,0,40.5,4,3.0,2.5,2902.0,1783.5,385.0,0.821,1378.875,35.0,0.49724999999999997,0.29337500000000005,0,1,0
0,1,2,0,1,0,40.5,6,3.0,2.5,7819.0,1560.0,6259.0,0.827,1582.0,35.0,0.786,0.2,0,1,0
0,1,3,1,0,0,40.5,6,3.0,3.0,2731.0,1692.0,1039.0,0.62,1378.875,35.0,0.692,0.29337500000000005,0,1,0
1,1,1,0,1,0,36.0,2,3.5,3.0,1438.3,537.0,901.3,0.819,1378.875,35.0,0.49724999999999997,0.29337500000000005,0,0,1
0,1,1,1,1,0,39.0,3,2.5,3.0,8920.125,107.5,7947.35,0.594,1378.875,35.0,0.7907500000000001,0.0,0,1,0
0,0,0,0,1,1,40.5,5,2.5,2.5,3791.0,1648.0,2143.0,0.85,2058.0,35.0,0.789,0.29337500000000005,0,0,1
0,0,2,1,0,0,40.5,6,2.5,2.5,5332.0,107.5,5332.0,0.85,1378.875,39.0,0.7907500000000001,0.0,0,1,0
0,1,4,1,0,0,39.0,6,2.5,3.0,8920.125,755.0,7947.35,0.85,1378.875,35.0,0.7907500000000001,0.07,0,1,0
0,1,2,0,1,0,38.0,6,3.0,2.5,8920.125,1783.5,7947.35,0.837,1672.0,35.0,0.524,0.063,0,1,0
0,1,0,0,1,0,36.0,3,3.0,2.5,8920.125,793.0,7947.35,0.685,1378.875,35.0,0.49724999999999997,0.035,0,1,0
0,1,0,0,1,0,36.0,3,3.0,2.5,8920.125,793.0,7947.35,0.685,1378.875,35.0,0.49724999999999997,0.035,0,1,0
0,1,0,0,1,0,36.0,3,3.0,2.5,8920.125,793.0,7947.35,0.685,1378.875,35.0,0.49724999999999997,0.035,0,1,0
0,0,4,1,0,1,40.5,6,3.0,2.5,8920.125,1586.0,7947.35,0.85,1439.0,48.0,0.7907500000000001,0.087,0,1,0
0,1,4,0,1,0,34.0,6,3.0,3.0,3104.0,1766.0,1338.0,0.828,1378.875,35.0,0.7907500000000001,0.29337500000000005,0,1,0
0,0,3,0,0,1,36.0,3,2.5,3.0,8920.125,726.0,7947.35,0.594,1378.875,35.0,0.7907500000000001,0.047,1,0,0
0,0,1,0,1,1,40.5,6,3.0,2.5,2324.0,1576.0,748.0,0.728,1378.875,37.0,0.7907500000000001,0.29337500000000005,0,1,0
0,0,1,0,1,1,40.5,6,3.0,2.5,2324.0,1576.0,748.0,0.728,1378.875,37.0,0.7907500000000001,0.29337500000000005,0,1,0
1,1,4,1,0,0,31.5,2,3.5,3.0,5639.0,1547.0,4092.0,0.85,1378.875,35.0,0.49724999999999997,0.274,0,1,0
0,1,0,0,1,1,40.5,6,2.5,2.5,2215.0,1783.5,300.0,0.794,1378.875,35.0,0.588,0.29337500000000005,0,0,1
0,0,4,0,0,1,40.5,6,2.5,2.5,8920.125,1288.0,7947.35,0.597,1562.0,35.0,0.5,0.137,0,1,0
0,1,0,0,1,0,40.5,5,3.0,3.0,3805.0,1783.5,1572.0,0.85,1743.0,35.0,0.7907500000000001,0.29337500000000005,0,0,1
1,1,2,0,1,0,40.0,3,3.0,3.0,3106.0,1120.0,1986.0,0.85,1378.875,35.0,0.7,0.29337500000000005,0,0,1
0,1,2,0,1,0,36.0,6,3.5,2.5,8920.125,1783.5,7947.35,0.648,1378.875,35.0,0.7907500000000001,0.07,0,1,0
1,1,3,1,1,0,34.0,3,3.0,3.0,8920.125,107.5,7947.35,0.742,1378.875,35.0,0.49724999999999997,0.0,0,1,0
0,1,3,1,0,0,35.0,6,3.0,2.5,8920.125,1783.5,7947.35,0.85,1378.875,35.0,0.7907500000000001,0.15,0,1,0
1,0,2,1,1,1,31.5,3,3.0,3.0,1929.0,1673.0,256.0,0.835,1378.875,36.0,0.7907500000000001,0.29337500000000005,0,1,0
1,0,3,1,1,1,38.0,6,3.0,2.5,2185.0,107.5,2185.0,0.727,1378.875,35.0,0.7907500000000001,0.0,0,1,0
0,1,3,1,0,0,32.0,5,2.5,2.5,8920.125,1783.5,7947.35,0.85,1512.0,42.0,0.7907500000000001,0.103,0,1,0
0,1,3,1,0,0,32.0,5,2.5,2.5,8920.125,1783.5,7947.35,0.85,1512.0,42.0,0.7907500000000001,0.103,0,1,0
1,1,2,0,0,0,36.0,5,3.0,3.0,8920.125,1299.0,7947.35,0.842,1378.875,35.0,0.667,0.093,1,0,0
0,1,3,0,1,0,40.5,4,2.5,2.5,8920.125,107.5,7947.35,0.594,1378.875,35.0,0.5,0.0,0,1,0
1,0,4,0,1,1,40.5,2,3.0,3.0,2536.0,107.5,2536.0,0.85,1378.875,35.0,0.522,0.0,0,0,1
0,1,4,1,0,0,34.0,4,2.5,3.0,8920.125,1727.0,7947.35,0.693,1612.0,39.0,0.7907500000000001,0.075,1,0,0
0,1,3,1,0,0,36.0,5,2.5,3.0,6880.0,1390.0,5490.0,0.85,1784.0,35.0,0.7907500000000001,0.202,0,1,0
1,0,1,1,0,1,40.0,1,2.5,2.5,2317.0,107.5,2317.0,0.85,1378.875,35.0,0.727,0.0,0,1,0
1,0,2,0,0,1,40.5,1,2.5,2.5,1981.0,1518.0,463.0,0.85,1378.875,35.0,0.7907500000000001,0.29337500000000005,0,1,0
1,1,2,1,1,0,40.5,3,3.0,2.5,4320.0,107.5,4320.0,0.85,1378.875,35.0,0.5,0.0,0,1,0
1,1,2,0,1,0,36.0,1,3.0,3.0,4503.0,107.5,4503.0,0.659,1378.875,35.0,0.49724999999999997,0.0,0,1,0
0,0,0,1,0,1,40.5,4,2.5,2.5,3044.0,1611.0,1433.0,0.74,1456.0,36.0,0.714,0.29337500000000005,0,0,1
1,1,3,1,0,0,31.5,2,2.5,3.0,8920.125,1783.5,7947.35,0.594,1378.875,35.0,0.562,0.112,1,0,0
1,0,2,0,0,1,31.5,2,3.0,2.5,2962.0,1783.5,445.0,0.85,1378.875,35.0,0.49724999999999997,0.29337500000000005,0,1,0
0,1,2,0,0,0,31.5,3,2.5,2.5,8920.125,896.0,7947.35,0.85,1378.875,35.0,0.7907500000000001,0.056,0,1,0
1,1,2,1,0,0,40.5,2,2.5,3.0,8920.125,107.5,7947.35,0.85,1378.875,35.0,0.49724999999999997,0.0,0,0,1
1,0,3,1,0,1,40.5,3,3.0,2.5,2972.0,107.5,2972.0,0.85,1378.875,35.0,0.562,0.0,0,1,0
0,1,4,0,1,0,40.5,5,2.5,3.0,8920.125,1783.5,7947.35,0.801,1700.0,35.0,0.7907500000000001,0.179,0,0,1
0,1,1,1,1,0,36.0,3,3.0,2.5,2947.0,1783.5,731.0,0.76,1744.0,53.0,0.606,0.29337500000000005,0,1,0
1,0,3,0,0,1,36.0,3,3.0,3.0,4028.0,710.0,3318.0,0.731,1378.875,35.0,0.7907500000000001,0.176,0,1,0
0,0,2,0,0,1,32.0,5,3.0,3.0,2264.0,107.5,2264.0,0.594,1378.875,35.0,0.49724999999999997,0.0,1,0,0
0,1,3,0,0,0,40.5,5,2.5,2.5,8920.125,1783.5,7947.35,0.691,1378.875,35.0,0.5,0.093,0,1,0
0,0,4,1,0,1,37.0,6,2.5,2.5,4256.0,1084.0,3172.0,0.63,1378.875,35.0,0.49724999999999997,0.255,0,1,0
1,1,1,0,0,0,39.0,3,2.5,3.0,8920.125,1783.5,7947.35,0.85,1378.875,35.0,0.562,0.078,0,1,0
0,0,3,0,1,0,40.5,5,2.5,2.5,1929.0,1540.0,389.0,0.85,2354.0,50.0,0.786,0.29337500000000005,0,0,1
1,1,1,1,1,0,40.5,3,3.0,3.0,8920.125,1783.5,7947.35,0.85,1378.875,35.0,0.556,0.148,0,0,1
0,1,3,0,0,0,40.5,4,3.0,3.5,8920.125,1513.0,7947.35,0.802,1878.0,55.0,0.49724999999999997,0.076,0,1,0
0,0,1,0,0,0,31.5,6,3.0,2.5,4969.0,838.0,4131.0,0.594,1489.0,35.0,0.49724999999999997,0.169,0,1,0
1,0,2,1,1,1,39.0,1,2.5,3.0,1438.3,107.5,1438.3,0.644,1378.875,35.0,0.692,0.0,0,1,0
1,1,2,1,1,0,31.5,3,3.5,3.0,1438.3,107.5,1438.3,0.676,1378.875,35.0,0.49724999999999997,0.0,0,1,0
0,1,4,0,0,0,31.5,4,3.0,3.0,7712.0,1387.0,6325.0,0.85,1597.0,39.0,0.56,0.18,0,1,0
0,1,4,0,0,0,31.5,4,3.0,3.0,7712.0,1387.0,6325.0,0.85,1597.0,39.0,0.56,0.18,0,1,0
0,0,4,1,0,1,36.0,6,2.5,2.5,3125.0,1783.5,1197.0,0.594,1631.0,46.0,0.533,0.29337500000000005,0,1,0
0,0,1,0,1,1,40.5,4,2.5,3.0,1438.3,107.5,1438.3,0.85,1449.0,35.0,0.7907500000000001,0.0,0,0,1
1,0,2,1,1,1,37.0,3,3.0,2.5,1438.3,107.5,1438.3,0.85,1378.875,35.0,0.49724999999999997,0.0,0,1,0
1,1,1,0,1,0,36.0,3,2.5,3.0,6705.0,107.5,6705.0,0.749,1378.875,35.0,0.5,0.0,0,0,1
0,1,1,1,1,0,31.5,4,3.0,2.5,8920.125,1040.0,7947.35,0.85,1744.0,50.0,0.7907500000000001,0.054,0,1,0
0,1,1,1,1,0,31.5,4,3.0,2.5,8920.125,1040.0,7947.35,0.85,1744.0,50.0,0.7907500000000001,0.054,0,1,0
0,1,2,1,0,0,34.0,5,3.0,2.5,5331.0,1783.5,3338.0,0.777,1766.0,39.0,0.625,0.29337500000000005,0,1,0
0,1,2,1,1,0,34.0,6,3.0,2.5,8920.125,107.5,7947.35,0.85,1860.0,37.0,0.7907500000000001,0.0,1,0,0
1,1,0,0,1,0,40.5,3,3.0,2.5,8077.0,107.5,7947.35,0.749,1378.875,35.0,0.49724999999999997,0.0,0,0,1
0,1,0,1,0,0,31.5,6,2.5,2.5,3290.0,1616.0,1674.0,0.594,2781.0,54.0,0.49724999999999997,0.29337500000000005,1,0,0
1,1,2,1,1,0,40.5,2,3.5,3.0,6462.0,107.5,6462.0,0.85,1378.875,35.0,0.49724999999999997,0.0,0,0,1
1,1,4,0,0,0,36.0,1,3.0,2.5,8920.125,1783.5,7947.35,0.766,1378.875,35.0,0.49724999999999997,0.212,0,1,0
0,1,3,0,0,0,36.0,4,2.5,2.5,3624.0,1783.5,1649.0,0.708,1469.0,35.0,0.7907500000000001,0.29337500000000005,1,0,0
1,1,1,1,1,0,40.5,5,3.0,3.0,1704.0,107.5,1704.0,0.701,1378.875,35.0,0.49724999999999997,0.0,0,0,1
1,1,1,0,1,0,40.5,2,2.5,3.0,1438.3,107.5,1438.3,0.85,1378.875,35.0,0.7907500000000001,0.0,0,0,1
1,1,1,0,1,0,40.5,1,2.5,2.5,5472.0,788.0,4684.0,0.594,1378.875,35.0,0.49724999999999997,0.144,0,0,1
0,1,2,1,0,0,40.5,5,2.5,2.5,8920.125,1783.5,7947.35,0.594,1616.0,50.0,0.515,0.063,0,1,0
1,0,4,0,1,1,38.0,3,3.5,3.0,4908.0,107.5,4908.0,0.85,1378.875,35.0,0.75,0.0,0,1,0
1,0,3,1,1,1,38.0,6,2.5,3.0,7222.0,107.5,7222.0,0.685,1378.875,35.0,0.5,0.0,0,1,0
0,1,0,0,0,0,40.5,6,2.5,2.5,8920.125,107.5,7947.35,0.676,1755.0,54.0,0.543,0.0,0,0,1
0,1,0,0,0,0,40.5,6,2.5,2.5,8920.125,107.5,7947.35,0.676,1755.0,54.0,0.543,0.0,0,0,1
1,1,3,0,1,0,40.5,3,2.5,2.5,2323.0,107.5,2323.0,0.737,1378.875,35.0,0.5,0.0,0,0,1
0,1,4,0,0,0,31.5,4,2.5,2.5,7788.0,107.5,7788.0,0.594,1378.875,35.0,0.49724999999999997,0.0,0,1,0
1,0,1,0,1,1,36.0,4,2.5,3.0,1438.3,361.0,1077.3,0.85,1378.875,35.0,0.692,0.251,0,0,1
0,0,2,1,1,1,31.5,6,2.5,2.5,3663.0,1783.5,1810.0,0.85,1826.0,35.0,0.7907500000000001,0.29337500000000005,1,0,0
1,0,1,1,0,1,36.0,2,2.5,3.0,1438.3,107.5,1438.3,0.672,1378.875,35.0,0.49724999999999997,0.0,0,1,0
0,1,3,1,0,0,40.5,4,2.5,3.0,8920.125,1118.0,7947.35,0.658,1806.0,35.0,0.49724999999999997,0.051,0,1,0
0,1,3,1,0,0,40.5,4,2.5,3.0,8920.125,1118.0,7947.35,0.658,1806.0,35.0,0.49724999999999997,0.051,0,1,0
0,0,3,0,1,1,31.5,4,2.5,2.5,8920.125,1528.0,7947.35,0.85,2033.0,38.0,0.727,0.135,1,0,0
0,1,3,0,1,0,40.0,6,2.5,3.0,8308.0,1783.5,5791.0,0.85,1915.0,37.0,0.7907500000000001,0.29337500000000005,0,0,1
1,1,2,1,1,0,31.5,6,2.5,3.0,7340.0,107.5,7340.0,0.65,1378.875,35.0,0.49724999999999997,0.0,0,1,0
1,1,3,1,0,0,35.0,4,2.5,3.0,8920.125,107.5,7947.35,0.85,1378.875,35.0,0.667,0.0,0,0,1
0,1,2,1,1,0,40.0,5,2.5,2.5,8920.125,1566.0,7947.35,0.594,1422.0,35.0,0.529,0.128,0,1,0
0,1,2,1,1,0,31.5,4,2.5,3.0,8920.125,1355.0,7947.35,0.69,1911.0,55.0,0.571,0.061,0,1,0
0,1,3,1,1,0,32.0,6,2.5,3.0,8920.125,107.5,7947.35,0.767,1378.875,35.0,0.688,0.0,0,1,0
0,0,2,1,1,1,33.0,5,2.5,2.5,3933.0,852.0,3081.0,0.594,1489.0,45.0,0.49724999999999997,0.217,0,1,0
1,1,1,1,0,0,40.5,3,3.0,3.0,8920.125,1406.0,7947.35,0.85,3231.0,47.0,0.49724999999999997,0.046,0,1,0
0,0,2,0,1,0,40.5,3,2.5,3.0,6175.0,1166.0,5009.0,0.803,1417.0,35.0,0.49724999999999997,0.189,0,0,1
1,0,2,1,1,1,40.5,3,2.5,3.0,1438.3,306.0,1132.3,0.85,1378.875,35.0,0.49724999999999997,0.213,0,1,0
0,1,3,0,0,0,36.0,5,2.5,3.0,8920.125,1676.0,7947.35,0.594,1378.875,35.0,0.55,0.068,0,1,0
1,1,4,0,1,0,40.5,2,2.5,2.5,8920.125,900.0,7947.35,0.85,1378.875,35.0,0.49724999999999997,0.033,0,0,1
1,0,2,0,1,1,36.0,5,2.5,3.0,7151.0,800.0,6351.0,0.85,1378.875,35.0,0.49724999999999997,0.112,0,1,0
0,1,4,1,1,0,35.0,5,2.5,2.5,1535.0,700.0,835.0,0.85,1848.0,35.0,0.7907500000000001,0.29337500000000005,0,1,0
1,0,0,1,1,1,40.5,3,3.0,3.0,2122.0,554.0,1568.0,0.85,1378.875,35.0,0.49724999999999997,0.261,0,0,1
0,1,3,1,0,0,40.5,6,3.5,3.0,8920.125,107.5,7947.35,0.757,1378.875,41.0,0.708,0.0,0,1,0
0,1,2,1,0,0,40.0,4,2.5,2.5,8920.125,107.5,7947.35,0.789,1419.0,35.0,0.667,0.0,0,1,0
0,1,3,0,0,0,40.5,3,2.5,3.0,8920.125,1266.0,7947.35,0.846,1378.875,35.0,0.49724999999999997,0.037,0,0,1
1,1,3,0,1,0,40.5,1,2.5,3.0,8920.125,107.5,7947.35,0.688,1378.875,35.0,0.49724999999999997,0.0,0,1,0
0,0,3,0,1,1,40.5,6,2.5,3.0,3428.0,1566.0,1862.0,0.594,1378.875,35.0,0.545,0.29337500000000005,0,1,0
0,0,4,1,0,1,40.5,3,2.5,3.0,2680.0,1753.0,927.0,0.594,1378.875,35.0,0.571,0.29337500000000005,0,1,0
